YGL111W,YBL031W,YDR086C,YDL185W
YGL060W,YGR233C,YJR042W,YBR103W
YDR446W,YGL070C,YJR141W,YNL217W
YPL201C,YKL067W,YLR042C,YBR130C
YLR301W,YDR359C,YOR078W,YML116W
YLR292C,YLR281C,YBR161W,YOR154W
YAL053W,YAR019C,YMR031W-A,YBL026W
YDR369C,YHR074W,YGL022W,YLR387C
YKL127W,YDR414C,YKL218C,YOR258W
YNL232W,YDR477W,YDR269C,YLR453C
YIR021W,YJL069C,YPL110C,YOL087C
YKL088W,YHR170W,YJR028W,YDR322C-A
YDR430C,YHR105W,YIL166C,YFL033C
YPR067W,YJL194W,YML078W,YJL055W
YGR291C,YLR175W,YJL065C,YGR225W
YGR246C,YLR321C,YLL018C,YGL043W
YJL200C,YGR154C,YML125C,YDR113C
YGL001C,YKR028W,YNL127W,YDR005C
YFR012W,YIL025C,YNL265C,YLR377C
YBR064W,YDL210W,YBR040W,YPL203W
YGL137W,YJL029C,YGL028C,YBL017C
YNL155W,YGL185C,YBR176W,YDR129C
YJR040W,YJR080C,YLR191W,YKL139W
YMR149W,YKL048C,YBR028C,YEL023C
YPL053C,YJL079C,YLR131C,YHL009C
YAL040C,YGR175C,YGR083C,YOL077C
YKL167C,YNL243W,YDR501W,YML036W
YNL248C,YPR006C,YPR149W,YOR295W
YLR425W,YGR094W,YJL064W,YJR011C
YNL311C,YGR058W,YPL266W,YBL037W
YBR038W,YKL168C,YJR079W,YDR140W
YER131W,YER009W,YML059C,YMR267W
YMR075W,YLR097C,YML088W,YML054C
YJL098W,YDR404C,YJR050W,YBL002W
YKL020C,YDL003W,YLR442C,YOR080W
YML095C,YJR004C,YHR033W,YKR078W
YOR123C,YNL133C,YLR158C,YEL047C
